symbol,name,price,currency
PROD001,Portable T-Shirt,858.81,USD
PROD002,Mini Yoga Mat,486.92,USD
PROD003,Pro Water Bottle,965.32,USD
PROD004,Smart Laptop Stand,494.53,USD
PROD005,Max T-Shirt,377.12,USD
PROD006,Advanced Smartphone Case,405.3,USD
PROD007,Lightweight Desk Organizer,662.49,USD
PROD008,Eco Laptop Stand,12.33,USD
PROD009,Smart Backpack,422.91,USD
PROD010,Smart T-Shirt,46.75,USD
PROD011,Premium Smartphone Case,882.77,USD
PROD012,Wireless Camera Tripod,279.48,USD
PROD013,Portable Wireless Headphones,727.96,USD
PROD014,Lightweight Yoga Mat,311.25,USD
PROD015,Lightweight Gaming Mouse,274.16,USD
PROD016,Deluxe Wireless Headphones,886.59,USD
PROD017,Wireless Noise Cancelling Earbuds,821.25,USD
PROD018,Pro Noise Cancelling Earbuds,165.26,USD
PROD019,Compact Desk Organizer,671.53,USD
PROD020,Mini Yoga Mat,439.13,USD
PROD021,Premium Running Shoes,622.23,USD
PROD022,Ultra Noise Cancelling Earbuds,800.5,USD
PROD023,Smart Noise Cancelling Earbuds,647.87,USD
PROD024,Mini Backpack,184.32,USD
PROD025,Compact Gaming Mouse,239.79,USD
PROD026,Wireless Smartwatch,675.08,USD
PROD027,Advanced Gaming Mouse,172.01,USD
PROD028,Advanced Water Bottle,187.53,USD
PROD029,Lightweight Wireless Headphones,836.66,USD
PROD030,Ultra Yoga Mat,581.53,USD
PROD031,Premium Coffee Maker,129.86,USD
PROD032,Premium Coffee Maker,836.37,USD
PROD033,Advanced Backpack,522.83,USD
PROD034,Wireless Bluetooth Speaker,104.41,USD
PROD035,Wireless LED Desk Lamp,295.85,USD
PROD036,Pro Wireless Headphones,222.91,USD
PROD037,Premium Desk Organizer,253.42,USD
PROD038,Lightweight Portable Charger,233.88,USD
PROD039,Premium Laptop Stand,330.45,USD
PROD040,Max Laptop Stand,16.01,USD
PROD041,Ultra Electric Toothbrush,338.12,USD
PROD042,Compact T-Shirt,785.4,USD
PROD043,Max T-Shirt,946.29,USD
PROD044,Portable Bluetooth Speaker,781.18,USD
PROD045,Pro Camera Tripod,175.95,USD
PROD046,Pro Backpack,201.9,USD
PROD047,Eco Smartwatch,545.6,USD
PROD048,Travel Sunglasses,147.54,USD
PROD049,Compact Backpack,366.39,USD
PROD050,Mini Wireless Headphones,436.49,USD
PROD051,Travel Noise Cancelling Earbuds,276.18,USD
PROD052,Compact Water Bottle,51.18,USD
PROD053,Compact Laptop Stand,582.9,USD
PROD054,Portable Sunglasses,343.65,USD
PROD055,Lightweight T-Shirt,445.33,USD
PROD056,Travel Noise Cancelling Earbuds,960.93,USD
PROD057,Mini Wireless Headphones,762.3,USD
PROD058,Ultra Desk Organizer,949.92,USD
PROD059,Max Gaming Mouse,911.96,USD
PROD060,Max Bluetooth Speaker,320.41,USD
PROD061,Wireless Backpack,642.43,USD
PROD062,Premium Desk Organizer,782.57,USD
PROD063,Deluxe Noise Cancelling Earbuds,480.01,USD
PROD064,Travel Fitness Tracker,389.86,USD
PROD065,Travel Coffee Maker,800.16,USD
PROD066,Pro Yoga Mat,410.02,USD
PROD067,Portable Electric Toothbrush,574.32,USD
PROD068,Mini Running Shoes,46.96,USD
PROD069,Portable Wireless Headphones,99.59,USD
PROD070,Deluxe Fitness Tracker,579.45,USD
PROD071,Eco Noise Cancelling Earbuds,892.02,USD
PROD072,Deluxe Sunglasses,768.14,USD
PROD073,Deluxe Bluetooth Speaker,674.56,USD
PROD074,Compact Coffee Maker,321.85,USD
PROD075,Wireless Sunglasses,892.51,USD
PROD076,Travel Yoga Mat,741.5,USD
PROD077,Ultra Wireless Headphones,266.1,USD
PROD078,Pro Bluetooth Speaker,690.01,USD
PROD079,Smart Yoga Mat,79.21,USD
PROD080,Portable Gaming Mouse,487.9,USD
PROD081,Pro Wireless Headphones,241.6,USD
PROD082,Eco Sunglasses,761.0,USD
PROD083,Max Noise Cancelling Earbuds,677.75,USD
PROD084,Advanced Gaming Mouse,856.06,USD
PROD085,Max Sunglasses,676.14,USD
PROD086,Advanced Smartphone Case,971.28,USD
PROD087,Portable Running Shoes,623.53,USD
PROD088,Ultra LED Desk Lamp,729.93,USD
PROD089,Deluxe Gaming Mouse,973.78,USD
PROD090,Wireless LED Desk Lamp,273.07,USD
PROD091,Compact Wireless Headphones,474.0,USD
PROD092,Mini Smartwatch,517.22,USD
PROD093,Lightweight Noise Cancelling Earbuds,919.84,USD
PROD094,Portable Backpack,454.32,USD
PROD095,Max Sunglasses,180.35,USD
PROD096,Mini Smartwatch,119.69,USD
PROD097,Premium Backpack,973.65,USD
PROD098,Wireless Sunglasses,77.78,USD
PROD099,Compact Bluetooth Speaker,457.94,USD
PROD100,Portable Wireless Headphones,425.13,USD
